HAVE_MILITARY_SCORE_LESS_THAN;Tem uma pontuação militar menor que: ;Disposent d'un score militaire inférieur à :  ;Geringere militärische Punktzahl als ;;Tiene una puntuación militar menor que: ;;;;;;;;x;
STRATA_NEED_LESS_THAN;Necessidades satisfeitas a menos de;Besoins satisfaits à moins de;Erfüllte Bedürfnisse weniger als;;Necesidades satisfechas a menos de;;;;;;;;x;
STRATA_NEED_MORE_THAN;Necessidades satisfeitas a;Besoins satisfaits d'au moins;Erfüllte Bedürfnisse mindestens;;Necesidades satisfechas a;;;;;;;;x;
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN;Menos de $VAL$ querem reformas políticas.;Moins de $VAL$ souhaitent une réforme politique.;Weniger als $VAL$ wollen politische Reformen.;;Menos de $VAL$ quieren reformas políticas.;;;;;;;;x;
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN;Ao menos $VAL$ querem reformas políticas.;Au moins $VAL$ souhaitent une réforme politique.;Mindestens $VAL$ wollen politische Reformen.;;Al menos $VAL$ quieren reformas políticas.;;;;;;;;x;
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN;Menos de $VAL$ querem reformas sociais.;Moins de $VAL$ souhaitent une réforme sociale.;Weniger als $VAL$ wollen soziale Reformen.;;Menos de $VAL$ quieren reformas sociales.;;;;;;;;x;
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN;Ao menos $VAL$ querem reformas sociais.;Au moins $VAL$ souhaitent une réforme sociale.;Mindestens $VAL$ wollen soziale Reformen.;;Al menos $VAL$ quieren reformas sociales.;;;;;;;;x;
CSA_proletarian_dictatorship;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_presidential_dictatorship;Estados Unidos da América;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_presidential_dictatorship;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_bourgeois_dictatorship;Estados Unidos da América;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_bourgeois_dictatorship;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_fascist_dictatorship;Estados Unidos da América;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_fascist_dictatorship;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
REMOVE_USA_prussian_constitutionalism;Estados Unidos da América;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_prussian_constitutionalism;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_democracy;Estados Unidos da América;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_democracy;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
CAL_absolute_monarchy;Reino de Califórnia;Royaume de Californie;Kingdom of California;;Reino de California;;;;;;;;x
CAL_hms_government;Reino de Califórnia;Royaume de Californie;Kingdom of California;;Reino de California;;;;;;;;x
DOM_absolute_monarchy;Santo Domingo;Santo Domingo;Santo Domingo;;Santo Domingo;;;;;;;;x
DOM_hms_government;Santo Domingo;Santo Domingo;Santo Domingo;;Santo Domingo;;;;;;;;x
ENG_democracy;Grã Bretanha;Grande-Bretagne;Großbritannien;;Gran Bretaña;;;;;;;;x;
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;Liderança base mensal: §Y$VALUE$§W;Commandement de base mensuel : §Y$VALUE$§W;Monatliche Basis-Anführerpunkte: §Y$VALUE$§W;;Liderazgo básico mensual: §Y$VALUE$§W;;;;;;;;x
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;Liderança mensal: §G+$VALUE$§W;Commandement mensuel : §G+$VALUE$§W;Monatliche Anführerpunkte: §G+$VALUE$§W;;Liderazgo mensual: §G+$VALUE$§W;;;;;;;;x
TECH_DAILY_LEADERSHIP_TOOLTIP;Os $POPTYPE$ proporcionam §G$VALUE$§W de liderança.\n (§Y$FRACTION$%§W da população, o valor ideal é $OPTIMAL$%.);$POPTYPE$ propose §G$VALUE$§W de commandement.\n (§Y$FRACTION$%§W de la population, $OPTIMAL$% est optimal.);$POPTYPE$ erbringen §G$VALUE$§W Anführerpunkte.\n(§Y$FRACTION$%§W der Bevölkerung, $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W de liderazgo.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;x
MODIFIER_CORE_POP_MILITANCY_MODIFIER;Militância em províncias não coloniais;Militantisme des États non coloniaux;Militanz in Nicht-Koloniestaat;;Militancia en provincias no coloniales;;;;;;;;x
MODIFIER_CORE_POP_CONSCIOUSNESS_MODIFIER;Consciência em províncias não coloniais;Conscience nationale des États non coloniaux;Bewusstsein in Nicht-Koloniestaat;;Conciencia en provincias no coloniales;;;;;;;;x
MODIFIER_NON_ACCEPTED_POP_MILITANCY_MODIFIER;Militância de culturas não aceitadas;Militantisme des cultures non acceptées;Militanz für nicht akzeptierte Kulturen;;Militancia de culturas no aceptadas;;;;;;;;x
MODIFIER_NON_ACCEPTED_POP_CONSCIOUSNESS_MODIFIER;Consciência de culturas não aceitadas;Conscience nationale des cultures non acceptées;Bewusstsein für nicht akzeptierte Kulturen;;Conciencia de culturas no aceptadas;;;;;;;;x
AUS_734;Tirol do Sul tinha;Tyrol du Sud;Südtirol;;Tirol Meridional;;;;;;;;x
EVTNAME23212;Cometa Avistado;Comète aperçue;Komet gesichtet;;Cometa avistado;;;;;;;;x
EVTDESC23212;Um cometa foi avistado no céu, alguns asseguram que isso é um sinal de mau presságio. Outros acreditam que é a ação de fadas e duendes que vivem no céu. E há alguns que pensam que o cometa poderia ser uma gigantesca bola de gelo flutuando no céu, seguido por uma longa linha criada pela a energia do sol. As discussões entre estas três teorias igualmente plausíveis estão estimulando busca de conhecimento em nosso país.;Une comète a été aperçue dans le ciel, ce qui selon certains augure de temps difficiles. D'autres croient qu'il s'agit en fait de fées qui flottent dans le ciel. Puis, il y a ceux qui pensent que cette comète est, vraisemblablement, une boule de glace géante qui traverse le ciel et dont la longue queue résulte de l'énergie solaire. Les discussions liées à ces trois théories viables stimulent la soif de connaissance de notre pays.;Am Nachthimmel wurde ein Komet gesichtet, und manche sehen darin ein Omen für die Zukunft. Andere dagegen glauben, dass Kometen Feen sind, die am Himmel schweben, aber es gibt auch solche, die einen Komet für nichts als einen riesigen Eisball halten, der durch den Himmel zieht, und dessen langer Schweif von der Sonnenenergie erzeugt wird. Die Argumente dieser drei Denkansätze stimulieren in unserem Land das Streben nach Wissen.;;Han avistado un cometa en el cielo y algunos aseguran que esto presagia malos tiempos. Otros creen que se trata de la acción de las hadas y los duendes que viven en el cielo. E incluso hay algunos que piensan que el cometa podría ser una bola de hielo gigantesca que flota por el cielo, seguido por una larga cola creada por la energía del sol. Las discusiones entre estas tres teorías igualmente plausibles están estimulando la búsqueda del conocimiento en nuestro país.;;;;;;;;x
EVTOPTA23212;Graças a Deus vivermos nesses tempos iluminados;Dieu merci, nous vivons une période des plus éclairées.;Gott sei Dank leben wir in solch aufgeklärten Zeiten!;;Demos gracias a Dios por vivir en estos tiempos de iluminación;;;;;;;;x  ;
EVTNAME60140;Convenção Constitucional;Convention constitutionnelle;Konstitutionelle Verfassung;;Convención constitucional;;;;;;;;x  ;
EVTDESC60140;Com os liberais firmemente no controle do nosso país, eles acham que agora está na hora de uma convenção constitucional. Todo mundo estará vendo, bem pelo menos aqueles que realmente importam, eles estarão representando nessa grande assembleia que dará forma o futuro do nosso país.;Alors que les libéraux tiennent les rênes de notre pays, ils estiment le moment venu pour une convention constitutionnelle. Les vues de chacun, du moins de tous ceux qui importent vraiment, seront représentées dans cette nouvelle assemblée afin de forger la voie de nos nations.;Die Liberalen haben unser Land fest im Griff, und sie glauben, dass es jetzt an der Zeit für eine konstitutionelle Verfassung ist. In dieser neuen Verfassung, die den zukünftigen Weg unserer Nation eben wird, werden die Meinungen aller repräsentiert sein, zumindest jener, auf deren Meinung es wirklich ankommt.;;Los liberales, con un firme control sobre el país, creen que ha llegado el momento de organizar una convención constitucional. Todo el mundo (al menos todo el mundo que cuenta) estará representado en esta gran asamblea que dará forma al futuro de nuestro país.;;;;;;;;x  ;
EVTOPTA60140;De outra forma, Alguém poderia se aproveitar dessa situação;Sinon, les gens exploiteraient la situation.;Ansonsten würde das Volk die Situation ausnutzen.;;De lo contrario, alguien podría tratar de aprovecharse de la situación.;;;;;;;;x  ;
become_guatemala_title;Se torne Guatemala;Devient le Guatemala;Werden Sie Guatemala;;Convertirse en Guatemala;;;;;;;;x  ;
BUDGET_STOCKPILE_YESTERDAYS;Aquisições de ontem para a reserva nacional:;Achats d'hier pour les réserves :;Gestrige Vorratskäufe: ;;Adquisiciones de ayer para la reserva nacional:;;;;;;;;x;
